Phoneme1,Phoneme2,EuclideanDistance
AA,AE,2.0
AA,AH,1.4142135623730951
AA,AO,1.4142135623730951
AA,AW,1.5
AA,AX,1.4142135623730951
AA,AY,1.4142135623730951
AA,EY,2.3853720883753127
AA,EH,2.23606797749979
AA,ER,1.4142135623730951
AA,IY,2.8284271247461903
AA,IH,2.6248809496813372
AA,OW,1.6401219466856727
AA,OY,1.5
AA,UW,2.23606797749979
AA,UH,1.972308292331602
AA,P,2.23606797749979
AA,B,2.449489742783178
AA,T,1.0
AA,D,1.4142135623730951
AA,K,2.23606797749979
AA,G,2.449489742783178
AA,CH,1.5
AA,JH,1.8027756377319946
AA,F,1.7320508075688772
AA,V,2.0
AA,TH,1.4142135623730951
AA,DH,1.7320508075688772
AA,S,1.4142135623730951
AA,Z,1.7320508075688772
AA,SH,1.7320508075688772
AA,ZH,2.0
AA,HH,3.3166247903554
AA,M,3.1622776601683795
AA,N,2.449489742783178
AA,NG,3.1622776601683795
AA,L,3.3166247903554
AA,R,3.774917217635375
AA,Y,4.358898943540674
AA,W,4.69041575982343
AE,AH,1.4142135623730951
AE,AO,2.449489742783178
AE,AW,2.0615528128088303
AE,AX,1.4142135623730951
AE,AY,1.4142135623730951
AE,EY,1.3
AE,EH,1.0
AE,ER,1.4142135623730951
AE,IY,2.0
AE,IH,1.7
AE,OW,2.5865034312755126
AE,OY,1.5
AE,UW,3.0
AE,UH,2.808914381037628
AE,P,1.0
AE,B,1.4142135623730951
AE,T,2.23606797749979
AE,D,2.449489742783178
AE,K,4.123105625617661
AE,G,4.242640687119285
AE,CH,3.2015621187164243
AE,JH,3.3541019662496847
AE,F,1.7320508075688772
AE,V,2.0
AE,TH,2.449489742783178
AE,DH,2.6457513110645907
AE,S,2.449489742783178
AE,Z,2.6457513110645907
AE,SH,3.3166247903554
AE,ZH,3.4641016151377544
AE,HH,5.196152422706632
AE,M,2.449489742783178
AE,N,3.1622776601683795
AE,NG,4.69041575982343
AE,L,3.872983346207417
AE,R,4.272001872658765
AE,Y,5.196152422706632
AE,W,4.242640687119285
AH,AO,1.4142135623730951
AH,AW,1.118033988749895
AH,AX,0.0
AH,AY,0.0
AH,EY,1.044030650891055
AH,EH,1.0
AH,ER,0.0
AH,IY,1.4142135623730951
AH,IH,1.2206555615733703
AH,OW,1.445683229480096
AH,OY,0.5
AH,UW,1.7320508075688772
AH,UH,1.57797338380595
