score,algorithm,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,U,V,W,X,Y,Z
2085,Random Search,attentive,bronfmans,cauliflower,duana,escorted,forges,glycomed,headings,immolated,jacoby,kolarik,ledin,melodious,neblett,olliff,purdin,quina,rosetta,sucralose,theodore,unjustly,volts,wickard,xaver,yawn,zoellner
2210,Random Search,accumulation,baber,childcare,detlefsen,entrances,fulmore,gainfully,hedden,importance,jointness,knecht,larrick,menezes,nuncio,overworking,parrishes,quarante,rhone,supine,thunders,ushered,venard,whiskey,xeroxed,yasmin,zags
2359,Random Search,anticipation,bageland,culberson,disappointing,electron,flink,geddings,haying,ironizer,julia,koppers,lunceford,mesick,nestor,oehlert,priests,qiao,repetition,silberman,torino,unprotected,vigneault,winnings,xaviera,yadda,zurfluh
2279,Random Search,alcocer,bachman,creators,downie,eskimo,freethinker,gorum,hygrometer,immortal,jacobean,kuehnle,liley,morefield,norick,outclassed,pendergast,qu,registrations,scads,turf,unhappily,vladimir,westfahl,xuedong,yesterdays,zigler
2394,Random Search,altus,bigoted,coffeehouse,deluged,eley,fragmentation,gyi,hegelian,inoperable,jaber,kau,lefthanded,mosses,neyer,order,petrarca,quadrant,recessed,saltwater,trembling,unappreciated,villains,whiteside,xscribe,yalta,zared
2284,Random Search,ahren,beidaihe,covas,dansie,elixir,fortino,growling,how,inpatient,joblessness,kubas,lunched,marzano,nutley,obligates,particularity,quarterbacking,rieder,seiki,trexler,unbounded,viglione,worst,xiaogang,yasunori,zemke
2357,Random Search,axline,bowsing,chapas,dimarzo,engined,furer,gribbon,hirano,interval,jolted,kitimat,leibel,miniscribe,neediest,outgrow,pavillion,quintanilla,richardsonsmith,suspects,trendiest,undermanned,viscerally,wurth,xus,yablonski,zellerbach
2245,Random Search,autoimmune,baldassarre,civilized,deaf,exclaims,fredrikson,garrelts,heiberg,intangibles,joaquim,koelsch,lamond,massif,newbold,outcries,pennie,quarante,reclined,skillern,turtleneck,ulland,vigilantes,wurzel,xenos,yorke,zitek
2232,Random Search,angeline,bocock,creationism,derousse,elmo,features,guilin,hardymon,intricacy,judi,kitzhaber,lavis,mcferren,newville,ordinaries,polarization,quizzing,renz,sears,trent,unitek,veazey,wellington,xeriscape,yacktman,zeller
2331,Random Search,annihilated,bilbao,complaining,domesticates,edwardian,famularo,governale,homesteader,invaders,jarosz,kunesh,lubell,marquardt,nother,overturn,polytechnic,questionnaire,related,stoking,tolle,unread,voigt,warners,xio,yellowknife,zaentz
2177,Random Search,anschutz,bethea,computerized,devenny,east,fielders,gasparro,helmets,innocent,jute,kummer,liquide,misdemeanor,nut,outrigger,pitiful,quixotic,ruwe,scags,totter,unsubsidized,vanleer,wroe,xyvision,youngberg,zhao
2399,Random Search,achieved,blueblooded,cornejo,devastating,emelie,fedeli,gae,holstead,iceberg,joubert,kuriansky,landes,minored,nots,octuplets,photoconductive,quarantining,replaces,seidel,tightfisted,unabombing,vetter,watertown,xu,yeiser,zipless
2402,Random Search,admonition,bemoaned,capasso,devastatingly,ejection,fludd,groves,hames,it,jablonsky,kearny,luu,market,nighswonger,oestreicher,proceeds,qing,rosentreter,stinkbugs,tektronix,underseas,vallejo,wildcats,xylogic,yearbooks,zaccardi
2032,Random Search,arpino,bergstrausser,concoct,duma,erion,filipek,gravest,harvey,inhaled,joiner,kurdish,lallie,motoren,nacogdoches,osher,peruse,quijada,rebirths,spoerl,thalmann,uchida,villanovan,woy,xiaoping,yass,zovut
2434,Random Search,arresting,bougainville,causing,dissipating,evadne,foulk,gutenberg,hanifen,instantiated,jeana,ku,levario,mesler,nithuekan,ozmet,pristine,quinney,reconfiguration,sleek,takemoto,unenviable,virginia,wilderman,xanax,yiddish,zuege
2328,Random Search,adee,bentsen,contaminated,dismutase,excavating,flaim,giampapa,haaf,ihle,janeane,korpi,liebelt,mcadow,nonacademic,overtakes,predaceous,quota,rodd,subscribers,takara,universal,val,wisecup,xan,youssef,ziahe
2057,Random Search,annoyed,bojanowski,comedians,day,elsen,falcoff,gragg,hosner,inserted,juhasz,kussman,lorna,mcmonagle,nonsectarian,overwrite,pressures,quarry,routine,superb,teens,ursini,vertrees,welded,xi,yeiri,ziehm
2206,Random Search,adney,buntstrock,cheese,driehaus,expulsions,flaig,gori,heimberger,its,juxtaposes,krider,lodema,margot,nonwhite,ortomisio,porte,quik,repositioning,sabretech,tigon,udale,valdosta,willes,xicor,yelled,zebra
2063,Random Search,accounted,birt,cortinas,dotterer,emblem,freidan,goza,horseshoe,internists,junine,keokuk,loudermilk,mcglothen,narco,overcharged,pfizer,quayles,regrouping,schoeppner,tashin,uchida,verity,waite,xiaoyun,yukio,zagorski
2124,Random Search,azteca,burdo,cuthbert,disapproves,enough,flotsam,gallacher,huffstetler,interceptors,jacox,knicks,lessens,memmott,nico,orbital,plagge,querulous,rogerson,stoute,taubes,underwhelm,vosburg,womanizer,xiang,yachts,zahniser
2342,Random Search,alive,berna,cloudless,detonations,entangling,finch,gremlin,hoisington,intercontinental,joseph,korfhage,larsh,mothball,neri,organisation,partner,quanex,rediffusion,sternberg,tenuta,urine,vigilia,wray,xavier,youri,zlata
1979,Random Search,art,ballots,cosmic,disunity,ennen,filings,gusto,hausen,inns,jailing,kairey,lenzi,mongol,nulty,ogle,persuade,quiets,redoubt,stereos,treinen,unaffordable,ventress,wallowed,xus,ye,zwiefelhofer
1989,Random Search,aloysia,boning,castparts,dolled,evoke,franchise,gillick,heighten,indicators,jolliffe,kliethermes,leonid,microwaves,nalley,oodles,pairs,qureshi,rabourn,scheve,tonkin,uglier,virden,worthy,xanax,yockey,zabriskie
2622,Random Search,auctioned,beaded,coloristic,daredevils,extinguish,fiberglas,goethals,haile,instruction,jackowski,kappa,linguistically,mcclory,northampton,outraging,patons,quinonez,raphalian,sombrero,transfusions,uli,vanhoy,wasser,xylogics,yamanaka,zan
1999,Random Search,annick,blackhawks,crum,dupuis,eisert,flatau,goodgame,hitters,inculcates,juranek,kim,loehmann,maciag,nonbuilding,outlier,poinot,quanex,r,sandstone,tondreau,unbend,verrilli,wensberg,xicor,yarnall,zeidman
2414,Random Search,arista,belie,checkerboarding,disenfranchise,emptier,filma,ghulam,hollis,isensee,janca,kleptocrat,lairson,mannino,nading,odowd,pinkerman,quarantining,rosenburg,searls,thera,unpredictable,vehement,wampum,xuedong,yutzy,ziegenhorn
